AntibodyLabel	Source	NodeName	Gene_Symbol	Sites	Effect	FunctionalScore
14-3-3-Beta_RS00273759.txt	MDACC	1433Beta	1433BETA			
14-3-3-Beta_RS00275702.txt	MDACC	1433Beta	1433BETA			
14-3-3-beta-R-V_GBL1033882	MDACC	1433beta	1433BETA			
14-3-3-beta-R-V_GBL1113342	MDACC	1433beta	1433BETA			
14-3-3-beta-R-V_GBL1115021	MDACC	1433beta	1433BETA			
14-3-3-beta(V)_GBL9008393.txt	MDACC	1433beta	1433BETA			
14-3-3-epsilon-M-C_GBL1033928	MDACC	1433epsilon	1433EPSILON			
14-3-3-epsilon-M-C_GBL1113387	MDACC	1433epsilon	1433EPSILON			
14-3-3-epsilon-M-C_GBL1115074	MDACC	1433epsilon	1433EPSILON			
14-3-3-Zeta_RS00273573.txt	MDACC	1433Zeta	1433ZETA			
14-3-3-Zeta_RS00276595 (1_20000).txt	MDACC	1433Zeta	1433ZETA			
14-3-3-zeta-R-V_GBL1033883	MDACC	1433zeta	1433ZETA			
14-3-3-zeta-R-V_GBL1113343	MDACC	1433zeta	1433ZETA			
14-3-3-zeta-R-V_GBL1115022	MDACC	1433zeta	1433ZETA			
14-3-3-Zeta(C)_GBL9008335.txt	MDACC	1433Zeta	1433ZETA			
4E-BP1_pS65-R-V_GBL1033671	MDACC	4EBP1pS65	4EBP1	pS65		
4E-BP1_pS65-R-V_GBL1113150	MDACC	4EBP1pS65	4EBP1	pS65		
4E-BP1_pS65-R-V_GBL1114852	MDACC	4EBP1pS65	4EBP1	pS65		
4E-BP1_pT37_T46-R-V_GBL1033672	MDACC	4EBP1pT37T46	4EBP1	pT37_T46		
4E-BP1_pT37_T46-R-V_GBL1113151	MDACC	4EBP1pT37T46	4EBP1	pT37_T46		
4E-BP1_pT37_T46-R-V_GBL1114853	MDACC	4EBP1pT37T46	4EBP1	pT37_T46		
4E-BP1-R-V_GBL1033914	MDACC	4EBP1	4EBP1			
4E-BP1-R-V_GBL1113149	MDACC	4EBP1	4EBP1			
4E-BP1-R-V_GBL1114851	MDACC	4EBP1	4EBP1			
4EBP1_pS37_RS00273595.txt	MDACC	4EBP1pS37	4EBP1	pS37		
4EBP1_pS65_RS00269167.txt	MDACC	4EBP1pS65	4EBP1	pS65		
4EBP1_pS65_RS00275827.txt	MDACC	4EBP1pS65	4EBP1	pS65		
4EBP1_pS65(V)_GBL9007869.txt	MDACC	4EBP1pS65	4EBP1	pS65		
4EBP1_pS65(V)_GBL9008591.txt	MDACC	4EBP1pS65	4EBP1	pS65		
4EBP1_pT37_RS00275826.txt	MDACC	4EBP1pT37	4EBP1	pT37		
4EBP1_pT37(V)_GBL9008592.txt	MDACC	4EBP1pT37	4EBP1	pT37		
4EBP1_pT70_RS00273577.txt	MDACC	4EBP1pT70	4EBP1	pT70		
4EBP1_pT70_RS00275820.txt	MDACC	4EBP1pT70	4EBP1	pT70		
4EBP1_pT70(V)_GBL9008561.txt	MDACC	4EBP1pT70	4EBP1	pT70		
4EBP1_RS00269168.txt	MDACC	4EBP1	4EBP1			
4EBP1_RS00276828.txt	MDACC	4EBP1	4EBP1			
4EBP1(V)_GBL9007231.txt	MDACC	4EBP1	4EBP1			
4EBP1(V)_GBL9008590.txt	MDACC	4EBP1	4EBP1			
53BP1_GBL9008311.txt	MDACC	53BP1	53BP1			
53BP1-R-V_GBL1033787	MDACC	53BP1	53BP1			
53BP1-R-V_GBL1113264	MDACC	53BP1	53BP1			
53BP1-R-V_GBL1114936	MDACC	53BP1	53BP1			
A-RAF_pS299_GBL9008341.txt	MDACC	ARAFpS299	ARAF	pS299		
A-Raf_pS299-R-C_GBL1115225	MDACC	ARafpS299	ARAF	pS299		
A-Raf-R-V_GBL1033858	MDACC	ARaf	ARAF			
A-Raf-R-V_GBL1113319	MDACC	ARaf	ARAF			
A-Raf-R-V_GBL1114978	MDACC	ARaf	ARAF			
a-Tubulin_GBL9008350.txt	MDACC	aTubulin	ATUBULIN			
ab_Crystalline_GBL9008549.txt	MDACC	abCrystalline	ABCRYSTALLINE			
ACC_pS79_GBL9008594.txt	MDACC	ACCpS79	ACC	pS79		
